data,hora,temperatura
04/26/2021,07:00:00,23.2
04/26/2021,08:00:00,24.8
04/26/2021,09:00:00,26.7
04/26/2021,10:00:00,27.8
04/26/2021,11:00:00,29
04/26/2021,12:00:00,29.6
04/26/2021,13:00:00,29.6
04/26/2021,14:00:00,30.6
04/26/2021,15:00:00,30.3
04/26/2021,16:00:00,28.1
04/26/2021,17:00:00,27.4
04/26/2021,18:00:00,25.6
04/26/2021,19:00:00,24.6
04/26/2021,20:00:00,23.6
04/26/2021,21:00:00,22.9
04/26/2021,22:00:00,22.6
04/26/2021,23:00:00,22.1
04/27/2021,00:00:00,22.1
04/27/2021,01:00:00,22
04/27/2021,02:00:00,21.6
04/27/2021,03:00:00,21.6
04/27/2021,04:00:00,22
04/27/2021,05:00:00,21.6
04/27/2021,06:00:00,22.5
04/27/2021,07:00:00,23
04/27/2021,08:00:00,24.8
04/27/2021,09:00:00,26.7
04/27/2021,10:00:00,27.6
04/27/2021,11:00:00,28.4
04/27/2021,12:00:00,29.6
04/27/2021,13:00:00,30.6
04/27/2021,14:00:00,30.6
04/27/2021,15:00:00,30.5
04/27/2021,16:00:00,29.6
04/27/2021,17:00:00,28.4
04/27/2021,18:00:00,26.6
04/27/2021,19:00:00,25.6
04/27/2021,20:00:00,24.6
04/27/2021,21:00:00,23.8
04/27/2021,22:00:00,23.6
04/27/2021,23:00:00,23
04/28/2021,00:00:00,23.1
04/28/2021,01:00:00,22.6
04/28/2021,02:00:00,22.5
04/28/2021,03:00:00,21.5
04/28/2021,04:00:00,21.6
04/28/2021,05:00:00,22
04/28/2021,06:00:00,23
04/28/2021,07:00:00,23.3
04/28/2021,08:00:00,24.2
04/28/2021,09:00:00,26
04/28/2021,10:00:00,23.6
04/28/2021,11:00:00,25.3
04/28/2021,12:00:00,27.4
04/28/2021,13:00:00,28.2
04/28/2021,14:00:00,27.8
04/28/2021,15:00:00,26.8
04/28/2021,16:00:00,26
04/28/2021,17:00:00,24.6
04/28/2021,18:00:00,23.8
04/28/2021,19:00:00,23.8
04/28/2021,20:00:00,23
04/28/2021,21:00:00,22.8
04/28/2021,22:00:00,22.8
04/28/2021,23:00:00,22.1
04/29/2021,00:00:00,22
04/29/2021,01:00:00,22.1
04/29/2021,02:00:00,21.6
04/29/2021,03:00:00,21.5
04/29/2021,04:00:00,21.6
04/29/2021,05:00:00,21.6
04/29/2021,06:00:00,22
04/29/2021,07:00:00,23
04/29/2021,08:00:00,24
04/29/2021,09:00:00,26.5
04/29/2021,10:00:00,26.5
04/29/2021,11:00:00,28.4
04/29/2021,12:00:00,28.6
04/29/2021,13:00:00,28.4
04/29/2021,14:00:00,26.3
04/29/2021,15:00:00,26.8
04/29/2021,16:00:00,25.8
04/29/2021,17:00:00,24.8
04/29/2021,18:00:00,23
04/29/2021,19:00:00,23
04/29/2021,20:00:00,23
04/29/2021,21:00:00,22.8
04/29/2021,22:00:00,22.2
04/29/2021,23:00:00,22.1
04/30/2021,00:00:00,22
04/30/2021,01:00:00,21.6
04/30/2021,02:00:00,21.5
04/30/2021,03:00:00,21.1
04/30/2021,04:00:00,21.1
04/30/2021,05:00:00,20.7
04/30/2021,06:00:00,21.5
04/30/2021,07:00:00,22.2
04/30/2021,08:00:00,23.8
04/30/2021,09:00:00,24.3
04/30/2021,10:00:00,25.8
04/30/2021,11:00:00,25.2
04/30/2021,12:00:00,25
04/30/2021,13:00:00,25.7
04/30/2021,14:00:00,24
04/30/2021,15:00:00,25
04/30/2021,16:00:00,25.1
04/30/2021,17:00:00,22.8
04/30/2021,18:00:00,23
04/30/2021,19:00:00,23
04/30/2021,20:00:00,22.8
04/30/2021,21:00:00,22.6
04/30/2021,22:00:00,21.8
04/30/2021,23:00:00,21.5
05/01/2021,00:00:00,21.1
05/01/2021,01:00:00,21
05/01/2021,02:00:00,20.6
05/01/2021,03:00:00,20.6
05/01/2021,04:00:00,20.5
05/01/2021,05:00:00,20.5
05/01/2021,06:00:00,21.1
05/01/2021,07:00:00,22
05/01/2021,08:00:00,23.6
05/01/2021,09:00:00,24.4
05/01/2021,10:00:00,26.3
05/01/2021,11:00:00,27.2
05/01/2021,12:00:00,25.6
05/01/2021,13:00:00,27
05/01/2021,14:00:00,28
05/01/2021,15:00:00,28
05/01/2021,16:00:00,27.6
05/01/2021,17:00:00,26.3
05/01/2021,18:00:00,24.6
05/01/2021,19:00:00,23.8
05/01/2021,20:00:00,23
05/01/2021,21:00:00,23
05/01/2021,22:00:00,22
05/01/2021,23:00:00,21.6
05/02/2021,00:00:00,21.6
05/02/2021,01:00:00,21.6
05/02/2021,02:00:00,21.6
05/02/2021,03:00:00,21.6
05/02/2021,04:00:00,21.1
05/02/2021,05:00:00,20.6
05/02/2021,06:00:00,21
05/02/2021,07:00:00,22.6
05/02/2021,08:00:00,23.3
05/02/2021,09:00:00,24.5
05/02/2021,10:00:00,26.3
05/02/2021,11:00:00,27
05/02/2021,12:00:00,28
05/02/2021,13:00:00,28.8
05/02/2021,14:00:00,28.6
05/02/2021,15:00:00,28.3
05/02/2021,16:00:00,27.6
05/02/2021,17:00:00,26.6
05/02/2021,18:00:00,25.6
05/02/2021,19:00:00,24.6
05/02/2021,20:00:00,23.8
05/02/2021,21:00:00,23
05/02/2021,22:00:00,22.2
05/02/2021,23:00:00,22
05/03/2021,00:00:00,21.6
05/03/2021,01:00:00,21.6
05/03/2021,02:00:00,21.1
05/03/2021,03:00:00,21.1
05/03/2021,04:00:00,21.1
05/03/2021,05:00:00,21.1
05/03/2021,06:00:00,21.6
05/03/2021,07:00:00,22
05/03/2021,08:00:00,23.3
05/03/2021,09:00:00,25.7
05/03/2021,10:00:00,26.2
05/03/2021,11:00:00,27.2
05/03/2021,12:00:00,27.6
05/03/2021,13:00:00,27.8
05/03/2021,14:00:00,26.6
05/03/2021,15:00:00,27.1
05/03/2021,16:00:00,24
05/03/2021,17:00:00,22.8
05/03/2021,18:00:00,21.4
05/03/2021,19:00:00,21.4
05/03/2021,20:00:00,23
05/03/2021,21:00:00,22.3
05/03/2021,22:00:00,22
05/03/2021,23:00:00,22
05/04/2021,00:00:00,21.6
05/04/2021,01:00:00,21.6
05/04/2021,02:00:00,21.1
05/04/2021,03:00:00,21.1
05/04/2021,04:00:00,21.1
05/04/2021,05:00:00,21.1
05/04/2021,06:00:00,21.1
05/04/2021,07:00:00,21.8
05/04/2021,08:00:00,22.3
05/04/2021,09:00:00,24.2
05/04/2021,10:00:00,25.6
05/04/2021,11:00:00,25.8
05/04/2021,12:00:00,22.8
05/04/2021,13:00:00,23.8
05/04/2021,14:00:00,20.6
05/04/2021,15:00:00,21
05/04/2021,16:00:00,21
05/04/2021,17:00:00,21.2
05/04/2021,18:00:00,21.6
05/04/2021,19:00:00,21.6
05/04/2021,20:00:00,21.6
05/04/2021,21:00:00,21.8
05/04/2021,22:00:00,21.6
05/04/2021,23:00:00,21.5
05/05/2021,00:00:00,21.6
05/05/2021,01:00:00,21.5
05/05/2021,02:00:00,21.5
05/05/2021,03:00:00,21.5
05/05/2021,04:00:00,21.5
05/05/2021,05:00:00,21.1
05/05/2021,06:00:00,21.6
05/05/2021,07:00:00,22
05/05/2021,08:00:00,23.2
05/05/2021,09:00:00,23.6
05/05/2021,10:00:00,24.6
05/05/2021,11:00:00,23.6
05/05/2021,12:00:00,23.6
05/05/2021,13:00:00,25.7
05/05/2021,14:00:00,27
05/05/2021,15:00:00,25.6
05/05/2021,16:00:00,24.8
05/05/2021,17:00:00,23.8
05/05/2021,18:00:00,23.6
05/05/2021,19:00:00,22.8
05/05/2021,20:00:00,22.8
05/05/2021,21:00:00,22.8
05/05/2021,22:00:00,22
