nome,data,hora,potencia,
Pow-AC1Triunfo,04/25/2021,17:00:00,0,
Pow-AC1Triunfo,04/25/2021,18:00:00,0,
Pow-AC1Triunfo,04/25/2021,19:00:00,0,
Pow-AC1Triunfo,04/25/2021,20:00:00,0,
Pow-AC1Triunfo,04/25/2021,21:00:00,0,
Pow-AC1Triunfo,04/25/2021,22:00:00,0,
Pow-AC1Triunfo,04/25/2021,23:00:00,0,
Pow-AC1Triunfo,04/26/2021,00:00:00,0,
Pow-AC1Triunfo,04/26/2021,01:00:00,0,
Pow-AC1Triunfo,04/26/2021,02:00:00,0,
Pow-AC1Triunfo,04/26/2021,03:00:00,0,
Pow-AC1Triunfo,04/26/2021,04:00:00,0,
Pow-AC1Triunfo,04/26/2021,05:00:00,0,
Pow-AC1Triunfo,04/26/2021,06:00:00,0,
Pow-AC1Triunfo,04/26/2021,07:00:00,0,
Pow-AC1Triunfo,04/26/2021,08:00:00,0,
Pow-AC1Triunfo,04/26/2021,09:00:00,0,
Pow-AC1Triunfo,04/26/2021,10:00:00,0,
Pow-AC1Triunfo,04/26/2021,11:00:00,0,
Pow-AC1Triunfo,04/26/2021,12:00:00,0,
Pow-AC1Triunfo,04/26/2021,13:00:00,0,
Pow-AC1Triunfo,04/26/2021,14:00:00,0,
Pow-AC1Triunfo,04/26/2021,15:00:00,0,
Pow-AC1Triunfo,04/26/2021,16:00:00,0,
Pow-AC1Triunfo,04/26/2021,17:00:00,0,
Pow-AC1Triunfo,04/26/2021,18:00:00,0,
Pow-AC1Triunfo,04/26/2021,19:00:00,0,
Pow-AC1Triunfo,04/26/2021,20:00:00,0,
Pow-AC1Triunfo,04/26/2021,21:00:00,0,
Pow-AC1Triunfo,04/26/2021,22:00:00,0,
Pow-AC1Triunfo,04/26/2021,23:00:00,0,
Pow-AC1Triunfo,04/27/2021,00:00:00,0,
Pow-AC1Triunfo,04/27/2021,01:00:00,0,
Pow-AC1Triunfo,04/27/2021,02:00:00,0,
Pow-AC1Triunfo,04/27/2021,03:00:00,0,
Pow-AC1Triunfo,04/27/2021,04:00:00,0,
Pow-AC1Triunfo,04/27/2021,05:00:00,0,
Pow-AC1Triunfo,04/27/2021,06:00:00,0,
Pow-AC1Triunfo,04/27/2021,07:00:00,0,
Pow-AC1Triunfo,04/27/2021,08:00:00,1615,5870572916665;0;0;1615
Pow-AC1Triunfo,04/27/2021,09:00:00,1836,1260839160839;0;0;1836
Pow-AC1Triunfo,04/27/2021,10:00:00,1855,7209999999998;0;0;1855
Pow-AC1Triunfo,04/27/2021,11:00:00,1881,0564525139664;0;0;1881
Pow-AC1Triunfo,04/27/2021,12:00:00,1832,0259365558911;0;0;1832
Pow-AC1Triunfo,04/27/2021,13:00:00,1478,8103034901364;0;0;1478
Pow-AC1Triunfo,04/27/2021,14:00:00,1922,2507194244604;0;0;1922
Pow-AC1Triunfo,04/27/2021,15:00:00,1931,9710647482016;0;0;1931
